Data,Atividade,Quantidade Processada,Quantidade em Estoque
2023-09-19 16:46:16,PACKING,2,100
2023-09-19 16:48:53,PACKING,4,100
2023-09-19 16:49:01,PACKING,2,100
2023-09-19 16:49:09,PACKING,2,200
2023-09-19 16:49:12,BOXING,6,2
2023-09-19 16:49:17,PACKING,4,100
2023-09-19 16:49:22,BOXING,2,4
2023-09-19 16:49:25,PACKING,2,100
2023-09-19 16:49:32,BOXING,4,2
2023-09-19 16:49:33,PACKING,2,100
2023-09-19 16:49:41,PACKING,2,0
2023-09-19 16:49:42,BOXING,2,4
2023-09-19 16:49:52,BOXING,4,0
2023-09-19 16:50:04,PACKING,2,0
2023-09-19 16:50:17,BOXING,2,0
2023-09-19 16:50:27,PACKING,0,50
2023-09-19 16:50:35,PACKING,0,50
2023-09-19 16:50:43,PACKING,0,50
2023-09-19 16:50:51,PACKING,0,50
2023-09-19 16:50:59,PACKING,0,50
2023-09-19 16:51:08,PACKING,0,50
2023-09-19 16:51:16,PACKING,0,50
2023-09-19 16:51:24,PACKING,0,50
2023-09-19 16:51:32,PACKING,0,50
2023-09-19 16:51:40,PACKING,0,50
2023-09-19 16:51:48,PACKING,0,50
2023-09-19 16:51:56,PACKING,0,50
2023-09-19 16:52:04,PACKING,0,50
2023-09-19 16:52:12,PACKING,0,50
2023-09-19 16:52:20,PACKING,0,50
2023-09-19 16:52:28,PACKING,0,50
2023-09-19 16:52:36,PACKING,0,50
2023-09-19 16:52:44,PACKING,0,50
2023-09-19 16:52:52,PACKING,0,50
2023-09-19 16:53:00,PACKING,0,50
2023-09-19 16:53:08,PACKING,0,50
2023-09-19 16:53:16,PACKING,0,50
2023-09-19 16:53:24,PACKING,0,50
2023-09-19 16:53:32,PACKING,0,50
2023-09-19 17:12:53,PACKING,4,100
2023-09-19 17:13:01,PACKING,2,200
2023-09-19 17:13:09,PACKING,4,200
2023-09-19 17:13:11,BOXING,6,4
2023-09-19 17:43:19,PACKING,4,100
2023-09-19 17:43:27,PACKING,2,200
2023-09-19 17:43:35,PACKING,4,200
2023-09-19 17:43:38,BOXING,6,4
2023-09-19 17:43:44,PACKING,4,100
2023-09-19 17:43:48,BOXING,4,4
2023-09-19 17:43:52,PACKING,2,100
2023-09-19 17:43:58,BOXING,4,2
2023-09-19 17:44:00,PACKING,2,100
2023-09-19 17:44:08,PACKING,2,0
2023-09-19 17:44:08,BOXING,2,4
2023-09-19 17:44:18,BOXING,4,0
2023-09-19 17:44:21,PACKING,2,100
2023-09-19 17:44:29,PACKING,2,100
2023-09-19 17:44:33,BOXING,2,2
2023-09-19 17:44:37,PACKING,2,200
2023-09-19 17:44:43,BOXING,2,2
2023-09-19 17:44:45,PACKING,4,100
2023-09-19 17:44:53,PACKING,2,100
2023-09-19 17:44:53,BOXING,2,6
2023-09-19 17:45:01,PACKING,2,200
2023-09-19 17:45:03,BOXING,6,2
2023-09-19 17:45:09,PACKING,4,0
2023-09-19 17:45:13,BOXING,2,4
2023-09-19 17:45:23,BOXING,4,0
2023-09-19 17:45:27,PACKING,2,200
2023-09-19 17:45:35,PACKING,4,50
2023-09-19 17:45:38,BOXING,2,4
2023-09-19 17:45:43,PACKING,0,50
2023-09-19 17:45:48,BOXING,4,0
2023-09-19 17:45:51,PACKING,0,50
2023-09-19 17:45:59,PACKING,0,50
2023-09-19 17:46:07,PACKING,0,50
2023-09-19 17:46:15,PACKING,0,50
2023-09-19 17:46:23,PACKING,0,50
2023-09-19 17:46:31,PACKING,0,50
2023-09-19 17:46:39,PACKING,0,50
2023-09-19 17:46:47,PACKING,0,50
2023-09-19 17:46:55,PACKING,0,50
2023-09-19 17:47:03,PACKING,0,50
2023-09-19 17:47:11,PACKING,0,50
2023-09-19 17:47:19,PACKING,0,50
2023-09-19 17:47:27,PACKING,0,50
2023-09-19 17:47:35,PACKING,0,50
2023-09-19 17:47:43,PACKING,0,50
2023-09-19 17:47:51,PACKING,0,50
2023-09-19 17:47:59,PACKING,0,50
2023-09-19 17:48:07,PACKING,0,50
2023-09-19 17:48:15,PACKING,0,50
2023-09-19 17:48:23,PACKING,0,50
2023-09-19 17:48:31,PACKING,0,50
2023-09-19 17:48:39,PACKING,0,50
2023-09-19 17:48:47,PACKING,0,50
2023-09-19 17:48:55,PACKING,0,50
2023-09-19 17:49:03,PACKING,0,50
2023-09-19 17:49:11,PACKING,0,50
2023-09-19 17:49:19,PACKING,0,50
2023-09-19 17:49:27,PACKING,0,50
2023-09-19 17:49:35,PACKING,0,50
2023-09-19 17:49:43,PACKING,0,50
2023-09-19 17:49:51,PACKING,0,50
2023-09-19 17:49:59,PACKING,0,50
2023-09-19 17:50:07,PACKING,0,50
2023-09-19 17:50:15,PACKING,0,50
2023-09-19 17:50:23,PACKING,0,50
2023-09-19 17:50:31,PACKING,0,50
2023-09-19 17:50:39,PACKING,0,50
2023-09-19 17:50:47,PACKING,0,50
2023-09-19 17:50:55,PACKING,0,50
2023-09-19 17:51:03,PACKING,0,50
2023-09-19 17:51:11,PACKING,0,50
2023-09-19 17:51:19,PACKING,0,50
2023-09-19 17:51:27,PACKING,0,50
2023-09-19 17:51:35,PACKING,0,50
2023-09-19 17:51:43,PACKING,0,50
2023-09-19 17:51:51,PACKING,0,50
2023-09-19 17:51:59,PACKING,0,50
2023-09-19 17:52:07,PACKING,0,50
2023-09-19 17:52:15,PACKING,0,50
2023-09-19 17:52:23,PACKING,0,50
2023-09-19 17:52:32,PACKING,0,50
2023-09-19 17:52:40,PACKING,0,50
2023-09-19 17:52:48,PACKING,0,50
2023-09-19 17:52:56,PACKING,0,50
2023-09-19 17:53:04,PACKING,0,50
2023-09-19 17:53:12,PACKING,0,50
2023-09-19 17:53:20,PACKING,0,50
2023-09-19 17:53:28,PACKING,0,50
2023-09-19 17:53:36,PACKING,0,50
2023-09-19 17:53:44,PACKING,0,50
2023-09-19 17:53:52,PACKING,0,50
2023-09-19 17:54:00,PACKING,0,50
2023-09-19 17:54:08,PACKING,0,50
2023-09-19 17:54:16,PACKING,0,50
2023-09-19 17:54:24,PACKING,0,50
2023-09-19 17:54:32,PACKING,0,50
2023-09-19 17:54:40,PACKING,0,50
2023-09-19 17:54:48,PACKING,0,50
2023-09-19 17:54:56,PACKING,0,50
2023-09-19 17:55:04,PACKING,0,50
2023-09-19 17:55:12,PACKING,0,50
2023-09-19 17:55:20,PACKING,0,50
2023-09-19 17:55:28,PACKING,0,50
2023-09-19 17:55:36,PACKING,0,50
2023-09-19 17:55:44,PACKING,0,50
2023-09-19 17:55:52,PACKING,0,50
2023-09-19 17:56:00,PACKING,0,50
2023-09-19 17:56:08,PACKING,0,50
2023-09-19 17:56:16,PACKING,0,50
2023-09-19 17:56:24,PACKING,0,50
2023-09-19 17:56:32,PACKING,0,50
2023-09-19 17:56:40,PACKING,0,50
2023-09-19 17:56:48,PACKING,0,50
2023-09-19 17:56:56,PACKING,0,50
2023-09-19 17:57:04,PACKING,0,50
2023-09-19 17:57:12,PACKING,0,50
2023-09-19 17:57:20,PACKING,0,50
2023-09-19 17:57:28,PACKING,0,50
2023-09-19 17:57:36,PACKING,0,50
2023-09-19 17:57:44,PACKING,0,50
2023-09-19 17:57:52,PACKING,0,50
2023-09-19 17:58:00,PACKING,0,50
2023-09-19 17:58:08,PACKING,0,50
2023-09-19 17:58:16,PACKING,0,50
2023-09-19 17:58:24,PACKING,0,50
2023-09-19 17:58:32,PACKING,0,50
2023-09-19 17:58:40,PACKING,0,50
2023-09-19 17:58:48,PACKING,0,50
2023-09-19 17:58:56,PACKING,0,50
2023-09-19 17:59:04,PACKING,0,50
2023-09-19 17:59:12,PACKING,0,50
2023-09-19 17:59:21,PACKING,0,50
2023-09-19 17:59:29,PACKING,0,50
2023-09-19 17:59:37,PACKING,0,50
2023-09-19 17:59:45,PACKING,0,50
2023-09-19 17:59:53,PACKING,0,50
2023-09-19 18:00:01,PACKING,0,50
2023-09-19 18:00:09,PACKING,0,50
2023-09-19 18:00:17,PACKING,0,50
2023-09-19 18:00:25,PACKING,0,50
2023-09-19 18:00:33,PACKING,0,50
2023-09-19 18:00:41,PACKING,0,50
2023-09-19 18:00:49,PACKING,0,50
2023-09-19 18:00:57,PACKING,0,50
2023-09-19 18:01:05,PACKING,0,50
2023-09-19 18:01:13,PACKING,0,50
2023-09-19 18:01:21,PACKING,0,50
2023-09-19 18:01:29,PACKING,0,50
2023-09-19 18:01:37,PACKING,0,50
2023-09-19 18:01:45,PACKING,0,50
2023-09-19 18:01:53,PACKING,0,50
2023-09-19 18:02:01,PACKING,0,50
2023-09-19 18:02:09,PACKING,0,50
2023-09-19 18:02:17,PACKING,0,50
2023-09-19 18:02:25,PACKING,0,50
2023-09-19 18:02:33,PACKING,0,50
2023-09-19 18:02:41,PACKING,0,50
2023-09-19 18:02:49,PACKING,0,50
2023-09-19 18:02:57,PACKING,0,50
2023-09-19 18:03:05,PACKING,0,50
2023-09-19 18:03:13,PACKING,0,50
2023-09-19 18:03:21,PACKING,0,50
2023-09-19 18:03:29,PACKING,0,50
2023-09-19 18:03:37,PACKING,0,50
2023-09-19 18:03:45,PACKING,0,50
2023-09-19 18:03:53,PACKING,0,50
2023-09-19 18:04:01,PACKING,0,50
2023-09-19 18:04:09,PACKING,0,50
2023-09-19 18:04:17,PACKING,0,50
2023-09-19 18:04:25,PACKING,0,50
2023-09-19 18:04:33,PACKING,0,50
2023-09-19 18:04:41,PACKING,0,50
2023-09-19 18:04:49,PACKING,0,50
2023-09-19 18:04:57,PACKING,0,50
2023-09-19 18:05:06,PACKING,0,50
2023-09-19 18:05:14,PACKING,0,50
2023-09-19 18:05:22,PACKING,0,50
2023-09-19 18:05:30,PACKING,0,50
2023-09-19 18:05:38,PACKING,0,50
2023-09-19 18:05:46,PACKING,0,50
2023-09-19 18:05:54,PACKING,0,50
2023-09-19 18:06:02,PACKING,0,50
2023-09-19 18:06:10,PACKING,0,50
2023-09-19 18:06:18,PACKING,0,50
2023-09-19 18:06:26,PACKING,0,50
2023-09-19 18:06:34,PACKING,0,50
2023-09-19 18:06:42,PACKING,0,50
2023-09-19 18:06:50,PACKING,0,50
2023-09-19 18:06:58,PACKING,0,50
2023-09-19 18:07:06,PACKING,0,50
2023-09-19 18:07:14,PACKING,0,50
2023-09-19 18:07:22,PACKING,0,50
2023-09-19 18:07:30,PACKING,0,50
2023-09-19 18:07:38,PACKING,0,50
2023-09-19 18:07:46,PACKING,0,50
2023-09-19 18:07:54,PACKING,0,50
2023-09-19 18:08:02,PACKING,0,50
2023-09-19 18:08:10,PACKING,0,50
2023-09-19 18:08:18,PACKING,0,50
2023-09-19 18:08:26,PACKING,0,50
2023-09-19 18:08:34,PACKING,0,50
2023-09-19 18:08:42,PACKING,0,50
2023-09-19 18:08:50,PACKING,0,50
2023-09-19 18:08:58,PACKING,0,50
2023-09-19 18:09:06,PACKING,0,50
2023-09-19 18:09:14,PACKING,0,50
2023-09-19 18:09:22,PACKING,0,50
2023-09-19 18:09:30,PACKING,0,50
2023-09-19 18:09:38,PACKING,0,50
2023-09-19 18:09:46,PACKING,0,50
2023-09-19 18:09:54,PACKING,0,50
2023-09-19 18:10:02,PACKING,0,50
2023-09-19 18:10:10,PACKING,0,50
2023-09-19 18:10:18,PACKING,0,50
2023-09-19 18:10:26,PACKING,0,50
2023-09-19 18:10:34,PACKING,0,50
2023-09-19 18:10:42,PACKING,0,50
2023-09-19 18:10:50,PACKING,0,50
2023-09-19 18:10:58,PACKING,0,50
2023-09-19 18:11:06,PACKING,0,50
2023-09-19 18:11:14,PACKING,0,50
2023-09-19 18:11:22,PACKING,0,50
2023-09-19 18:11:30,PACKING,0,50
2023-09-19 18:11:39,PACKING,0,50
2023-09-19 18:11:47,PACKING,0,50
2023-09-19 18:11:55,PACKING,0,50
2023-09-19 18:12:03,PACKING,0,50
2023-09-19 18:12:11,PACKING,0,50
2023-09-19 18:12:19,PACKING,0,50
2023-09-19 18:12:27,PACKING,0,50
2023-09-19 18:12:35,PACKING,0,50
2023-09-19 18:12:43,PACKING,0,50
2023-09-19 18:12:51,PACKING,0,50
2023-09-19 18:12:59,PACKING,0,50
2023-09-19 18:13:07,PACKING,0,50
2023-09-19 18:13:15,PACKING,0,50
2023-09-19 18:13:23,PACKING,0,50
2023-09-19 18:13:31,PACKING,0,50
2023-09-19 18:43:24,PACKING,0,50
2023-09-19 18:43:32,PACKING,0,50
2023-09-19 18:50:05,PACKING,4,100
2023-09-19 18:50:13,PACKING,2,200
2023-09-19 18:50:21,PACKING,4,100
2023-09-19 18:50:23,BOXING,6,4
2023-09-19 18:50:29,PACKING,2,100
2023-09-19 18:50:33,BOXING,4,2
2023-09-19 18:50:37,PACKING,2,200
2023-09-19 18:50:43,BOXING,2,2
2023-09-19 18:50:45,PACKING,4,100
2023-09-19 18:50:53,PACKING,2,200
2023-09-19 18:50:53,BOXING,2,6
2023-09-19 18:51:01,PACKING,4,100
2023-09-19 19:21:21,PACKING,4,100
2023-09-19 19:21:29,PACKING,2,200
2023-09-19 19:21:37,PACKING,4,200
2023-09-19 19:21:39,BOXING,6,4
2023-09-19 19:21:45,PACKING,4,100
2023-09-19 19:21:49,BOXING,4,4
2023-09-19 19:21:53,PACKING,2,0
2023-09-19 19:21:59,BOXING,4,2
2023-09-19 19:22:09,BOXING,2,0
2023-09-19 19:22:16,PACKING,2,0
2023-09-19 19:22:29,PACKING,2,100
2023-09-19 19:22:29,BOXING,2,2
2023-09-19 19:22:37,PACKING,2,200
2023-09-19 19:22:39,BOXING,2,2
2023-09-19 19:22:45,PACKING,4,100
2023-09-19 19:22:50,BOXING,2,4
2023-09-19 19:22:53,PACKING,2,200
2023-09-19 19:23:00,BOXING,4,2
2023-09-19 19:23:01,PACKING,4,0
2023-09-19 19:23:10,BOXING,2,4
2023-09-19 19:23:14,PACKING,2,150
2023-09-19 19:23:20,BOXING,4,2
2023-09-19 19:23:22,PACKING,3,0
2023-09-19 19:23:30,BOXING,2,3
2023-09-19 19:23:40,BOXING,3,0
2023-09-19 20:00:28,PACKING,2,0
2023-09-19 20:00:41,PACKING,2,100
2023-09-19 20:00:46,BOXING,2,2
2023-09-19 20:07:12,PACKING,2,0
2023-09-19 20:07:30,PACKING,2,100
2023-09-19 20:07:31,BOXING,2,2
2023-09-19 20:07:38,PACKING,2,200
2023-09-19 20:07:41,BOXING,2,2
2023-09-19 20:07:46,PACKING,4,100
2023-09-19 20:07:51,BOXING,2,4
2023-09-19 20:07:54,PACKING,2,200
2023-09-19 20:08:01,BOXING,4,2
2023-09-19 20:08:02,PACKING,4,100
2023-09-19 20:08:10,PACKING,2,100
2023-09-19 20:08:11,BOXING,2,6
2023-09-19 20:08:18,PACKING,2,200
2023-09-19 20:08:21,BOXING,6,2
2023-09-19 20:08:27,PACKING,4,100
2023-09-19 20:08:31,BOXING,2,4
2023-09-19 20:08:34,PACKING,2,100
2023-09-19 20:08:41,BOXING,4,2
2023-09-19 20:08:43,PACKING,2,100
2023-09-19 20:08:51,PACKING,2,100
2023-09-19 20:08:51,BOXING,2,4
2023-09-19 20:08:59,PACKING,2,200
2023-09-19 20:09:01,BOXING,4,2
2023-09-19 20:09:07,PACKING,4,0
2023-09-19 20:09:11,BOXING,2,4
2023-09-19 20:09:20,PACKING,2,200
2023-09-19 20:09:21,BOXING,4,2
2023-09-19 20:09:28,PACKING,4,100
2023-09-19 20:09:31,BOXING,2,4
2023-09-19 20:09:36,PACKING,2,100
2023-09-19 20:09:41,BOXING,4,2
2023-09-19 20:09:44,PACKING,2,200
2023-09-19 20:09:51,BOXING,2,2
2023-09-19 20:09:52,PACKING,4,0
2023-09-19 20:10:01,BOXING,2,4
2023-09-19 20:10:05,PACKING,2,200
2023-09-19 20:10:11,BOXING,4,2
2023-09-19 20:10:13,PACKING,4,100
2023-09-19 20:10:21,PACKING,2,200
2023-09-19 20:10:21,BOXING,2,6
2023-09-19 20:10:29,PACKING,4,0
2023-09-19 20:10:31,BOXING,6,4
2023-09-19 20:10:41,BOXING,4,0
2023-09-19 20:10:42,PACKING,2,100
2023-09-19 20:10:50,PACKING,2,200
2023-09-19 20:10:56,BOXING,2,2
2023-09-19 20:10:58,PACKING,4,100
2023-09-19 20:11:06,PACKING,2,100
2023-09-19 20:11:06,BOXING,2,6
2023-09-19 20:11:14,PACKING,2,200
2023-09-19 20:11:16,BOXING,6,2
2023-09-19 20:11:22,PACKING,4,100
2023-09-19 20:11:26,BOXING,2,4
2023-09-19 20:11:30,PACKING,2,100
2023-09-19 20:11:36,BOXING,4,8
2023-09-19 20:11:38,PACKING,2,400
2023-09-19 20:11:46,PACKING,200,400
2023-09-19 20:11:46,BOXING,8,202
2023-09-19 20:11:54,PACKING,200,300
2023-09-19 20:11:56,BOXING,202,200
2023-09-19 20:12:02,PACKING,200,200
2023-09-19 20:12:06,BOXING,200,200
2023-09-19 20:12:10,PACKING,4,100
2023-09-19 20:12:16,BOXING,200,4
2023-09-19 20:12:18,PACKING,2,100
2023-09-19 20:12:26,PACKING,2,200
2023-09-19 20:12:26,BOXING,4,4
2023-09-19 20:12:34,PACKING,4,200
2023-09-19 20:12:36,BOXING,4,4
2023-09-19 20:12:42,PACKING,4,100
2023-09-19 20:12:46,BOXING,4,4
2023-09-19 20:12:50,PACKING,2,100
2023-09-19 20:12:56,BOXING,4,2
2023-09-19 20:12:58,PACKING,2,0
2023-09-19 20:13:06,BOXING,2,2
2023-09-19 20:13:11,PACKING,2,200
2023-09-19 20:13:16,BOXING,2,2
2023-09-19 20:13:19,PACKING,4,100
2023-09-19 20:13:26,BOXING,2,4
2023-09-19 20:13:27,PACKING,2,100
2023-09-19 20:13:35,PACKING,2,200
2023-09-19 20:13:36,BOXING,4,4
2023-09-19 20:13:43,PACKING,4,100
2023-09-19 20:13:46,BOXING,4,4
2023-09-19 20:13:51,PACKING,2,200
2023-09-19 20:13:56,BOXING,4,2
2023-09-19 20:13:59,PACKING,4,100
2023-09-19 20:14:06,BOXING,2,4
2023-09-19 20:14:07,PACKING,2,100
